Newspaper,Country,LANGUAGE,Website
Les Dpches de Brazzaville,Congo,French,https://www.lesdepechesdebrazzaville.fr/
Zenga-Mambu,Congo,French,https://www.zenga-mambu.com/
7sur7.cd,Congo DRC,French,https://7sur7.cd
Digitalcongo.net,Congo DRC,French,https://www.digitalcongo.net
Mediacongo.net,Congo DRC,French,https://www.mediacongo.net
RFI Afrique - RDC,Congo DRC,French,https://www.rfi.fr/fr/afrique/rdc/
La Voix de Djibouti,Djibouti,French,https://lavoixdedjibouti.info/
Al Dostor,Egypt,Arabic,https://www.dostor.org
Al-Masry Al-Youm ( ),Egypt,Arabic (select articles in EN),https://www.almasryalyoum.com
Al-Shorouk (),Egypt,Arabic,https://www.shorouknews.com
Al-Wafd (),Egypt,Arabic,https://www.alwafd.news
Egypt Business,Egypt,English,https://www.egypt-business.com
El Mogaz,Egypt,Arabic,https://www.elmogaz.com
VetoGate,Egypt,Arabic,https://www.vetogate.com
AhoraEG,Equatorial Guinea,Spanish,https://www.ahoraeg.com
Diario Rombe,Equatorial Guinea,Spanish,https://www.diariorombe.es
Asmara News,Eritrea,English,https://www.asmarino.com/
Awate,Eritrea,English,https://awate.com/
Eriteria Focus,Eritrea,,https://eritrea-focus.org
Eritrea Live,Eritrea,,https://eritrealive.com
Eritrea Profile,Eritrea,English,http://www.shabait.com/category/eritrea-profile
Eritrea Today,Eritrea,,https://eritreatoday.com
Shabait,Eritrea,English,http://www.shabait.com/
Tesfanews,Eritrea,English,https://www.tesfanews.net/
Eswatini Positive News,Eswatini,English,https://eswatinipositivenews.com
Eswatini Press,Eswatini,,https://eswatinipress.com
Eswatini TV,Eswatini,,https://eswatinitv.co.sz
Eswatini Today,Eswatini,,https://eswatinitoday.com
Independent News (Eswatini),Eswatini,English,https://independentnews.co.sz
Mbabane Times,Eswatini,,https://mbabanetimes.com
Swazi Daily News,Eswatini,,https://swazidailynews.com
Swazi Express,Eswatini,,https://swaziexpress.com
Addis Fortune,Ethiopia,English,https://www.addisfortune.news
Addis Media Network (AMN),Ethiopia,Amharic / English,https://www.amn.gov.et
Addis Tribune,Ethiopia,English,https://www.addistribune.com
Awash Post,Ethiopia,English,https://www.awashpost.com
BBC Amharic,Ethiopia,Amharic,https://www.bbc.com/amharic
Capital,Ethiopia,English,https://www.capitalethiopia.com
Ethio 360 Media,Ethiopia,Amharic / English,https://www.ethio360media.com
Ethio FM 107.8,Ethiopia,Amharic,https://www.ethiofm107.com
EthioSports,Ethiopia,English,https://www.ethiosports.com
Ethiopia Insight,Ethiopia,English,https://www.ethiopia-insight.com
Ethiopia Observer,Ethiopia,English,https://www.ethiopiaobserver.com
Ethiopian Business Review,Ethiopia,English,https://www.ethiopianbusinessreview.net
Ethiopian Monitor,Ethiopia,English,https://www.ethiopianmonitor.com
Ethiopian News Agency (ENA),Ethiopia,Amharic / English,https://www.ena.et
Ethiopian Review,Ethiopia,English / Amharic,https://www.ethiopianreview.com
Ezega,Ethiopia,English,https://www.ezega.com
Fana BC,Ethiopia,Amharic / Afaan Oromo,https://www.fanabc.com
Horn Affairs,Ethiopia,English,https://www.hornaffairs.com
New Business Ethiopia,Ethiopia,English,https://www.newbusinessethiopia.com
OBN  Oromia Broadcasting,Ethiopia,Afaan Oromo,https://www.obn.com.et
OPride,Ethiopia,English,https://www.opride.com
Planet Ethiopia,Ethiopia,Amharic,https://www.planetethiopia.net
Sheger FM 102.1,Ethiopia,Amharic,https://www.shegerfm.com
The Reporter,Ethiopia,English / Amharic,https://www.thereporterethiopia.com
Tigrai Online,Ethiopia,English / Tigrinya,https://www.tigraionline.com
Unknown,Ethiopia,Unknown,Unknown.com
VOA Amharic,Ethiopia,Amharic,https://www.amharic.voanews.com
7joursinfo.com,Gabon,French,https://7joursinfo.com/
AfricaPresse.com,Gabon,French,https://africapresse.com/
Africtelegraph,Gabon,French,https://africtelegraph.com/
Direct Infos Gabon,Gabon,French,https://directinfosgabon.com/
Gabon Infos,Gabon,French,https://gaboninfos.com/
Gabon Matin,Gabon,French,https://gabonmatin.com/
Gabon Media Time,Gabon,French,https://gabonmediatime.com/
Gabon Review,Gabon,French,https://www.gabonreview.com/
Gabonactu.com,Gabon,French,https://gabonactu.com/
Gaboneco,Gabon,French,https://www.gaboneco.com/
La Libreville,Gabon,French,https://lalibreville.com/
Le Gabonais,Gabon,French,https://legabonais.com/
Le Librevillois,Gabon,French,https://lelibrevillois.com/
Freedom Newspaper,Gambia,,http://www.freedomnewspaper.com
Gambia Express,Gambia,English,https://gambiaexpress.com/
Gambia Gazette,Gambia,English,https://gambiagazette.com/
Gambia Post,Gambia,English,https://gambiapost.com/
Mansa Banko,Gambia,English,https://mansabanko.gm/
Senegambia News,Gambia,English,https://senegambianews.com/
442GH,Ghana,EN,https://www.442gh.com
Adom Online,Ghana,EN + Twi,https://www.adomonline.com
Agribusiness Ghana,Ghana,EN,https://www.agrighanaonline.com
Ameyaw Debrah,Ghana,EN,https://www.ameyawdebrah.com
Asaase Radio,Ghana,EN,https://www.asaaseradio.com
Aviation Ghana,Ghana,EN,https://www.aviationghana.com
BBC News Pidgin  GH,Ghana,Pidgin,bbc.com/pidgin/topics/cyd7zez5wme7
Business and Financial Times,Ghana,English,https://thebftonline.com
BusinessGhana,Ghana,EN,https://www.businessghana.com
Citi Newsroom,Ghana,EN,https://www.citinewsroom.com
Crusading Guide,Ghana,English,https://thenewcrusadingguideonline.com/
Daily Guide,Ghana,English,https://dailyguidenetwork.com
Daily Statesman,Ghana,EN,https://www.thestatesmanonline.com
Dubawa Ghana,Ghana,EN,https://www.dubawa.org/tag/ghana
Fact-Check Ghana,Ghana,EN,https://www.fact-checkghana.com
Focus News (KNUST),Ghana,EN,https://www.focusnewsroom.com
GBC Ghana Online,Ghana,EN,https://www.gbcghanaonline.com
GhHeadlines,Ghana,EN,https://www.ghheadlines.com
Ghana Business News,Ghana,EN,https://www.ghanabusinessnews.com
Ghana FA News,Ghana,EN,https://www.ghanafa.org/category/news
Ghana Fact (fact-check),Ghana,EN,https://www.ghanafact.com
Ghana News Agency,Ghana,EN,https://www.gna.org.gh
Ghana News Online,Ghana,EN,https://www.ghananewsonline.com.gh
Ghana News Prime,Ghana,EN,https://www.ghananewsprime.com
Ghana Page,Ghana,EN,https://www.ghpage.com
Ghana Sports Online,Ghana,EN,https://www.ghanasportsonline.com
Ghana Summary,Ghana,EN,https://www.ghanasummary.com
Ghana Talks Business,Ghana,EN,https://www.ghanatalksbusiness.com
GhanaSoccerNet,Ghana,EN,https://www.ghanasoccernet.com
Ghanaian Times,Ghana,EN,https://www.ghanaiantimes.com.gh
Goldstreet Business,Ghana,EN,https://www.goldstreetbusiness.com
JBKlutse (business tag),Ghana,EN,https://www.jbklutse.com/business
JBKlutse Tech,Ghana,EN,https://www.jbklutse.com
Mfidie (tech),Ghana,EN,https://www.mfidie.com
ModernGhana,Ghana,EN,https://www.modernghana.com
MyJoyOnline,Ghana,EN,https://www.myjoyonline.com
MyNewsGH,Ghana,EN,https://www.mynewsgh.com
Nairametrics (GH desk),Ghana,EN,https://www.nairametrics.com/category/ghana
News Ghana,Ghana,EN,https://www.newsghana.com.gh
Onua Online,Ghana,EN + Twi,https://www.onuaonline.com
Public Agenda,Ghana,English,https://www.publicagenda.news/
Pulse Ghana,Ghana,EN,https://www.pulse.com.gh
Radio Univers (UG-Legon),Ghana,EN,https://www.universnewsroom.com
Rainbow Radio Online,Ghana,EN,https://www.rainbowradioonline.com
SportsWorld Ghana,Ghana,EN,https://www.sportsworldghana.com
Starr FM,Ghana,EN,https://www.starrfm.com.gh
The Chronicle,Ghana,EN,https://www.thechronicle.com.gh
The Ghana Report,Ghana,EN,https://www.theghanareport.com
The Herald Ghana,Ghana,EN,https://www.theheraldghana.com
The Statesman,Ghana,English,https://dailystatesman.com.gh/
Today Newspaper,Ghana,English,https://www.todaygh.com/
VOA  Ghana,Ghana,EN,https://www.voanews.com/africa/ghana
Yen News,Ghana,EN,https://www.yen.com.gh
ZionFelix,Ghana,EN,https://www.zionfelix.net
Glusea (lifestyle),Ghana,English,https://glusea.com/
3News (TV3),Ghana,English,https://3news.com/
Angel Online,Ghana,English,https://www.angelfmonline.com/
Africaguinee,Guinea,French,https://africaguinee.com
Aminata,Guinea,,https://aminata.com
Guine Diversit,Guinea,French,https://guineediversite.com
Guine Matin,Guinea,French,https://guineematin.com
Guine News,Guinea,French,https://guineenews.org
Guine Presse,Guinea,French,https://guineepresse.info
Guine Sud,Guinea,French,https://guineesud.com
Guine Time,Guinea,French,https://guineetime.com
Guine24,Guinea,French,https://guinee24.com
Guine360,Guinea,French,https://guinee360.com
Guine7,Guinea,French,https://guinee7.com
Le Courrier de Conakry,Guinea,French,https://lecourrierdeconakry.com
Mosaiqueguinee,Guinea,French,https://mosaiqueguinee.com
VisionGuinee,Guinea,French,https://visionguinee.info
GW24,Guinea-Bissau,,https://gw24.com
Guin24,Guinea-Bissau,Portuguese,https://guine24.com
7info,Ivory Coast,French,https://7info.ci
AP Africa Ivory Coast,Ivory Coast,French,https://apnews.com/hub/ivory-coast
Abidjan.net Titrologie,Ivory Coast,French,https://abidjan.net
AfrikSoir,Ivory Coast,French,https://afriksoir.net
Afrique-sur-7 (CI desk),Ivory Coast,French,https://afrique-sur7.ci
Cap Sud Abidjan Sud,Ivory Coast,French,https://capsud.net
Connection Ivoirienne,Ivory Coast,French,https://connectionivoirienne.net
Financial Afrik CI,Ivory Coast,French,https://financialafrik.com/tag/cote-divoire
IvoireCheck,Ivory Coast,French,https://ivoirecheck.com
Jeune Afrique page,Ivory Coast,French,https://jeuneafrique.com/pays/cote-divoire
Koaci Ivoire channel,Ivory Coast,French,https://koaci.com/pays/cote-divoire
L'Elephant Dechaene,Ivory Coast,French,https://elephantdechaine.net/
Le Nouveau Réveil,Ivory Coast,,http://www.lenouveaureveil.com/
Le Patriote,Ivory Coast,French,https://lepatriote.ci
RTI VOD beta (news front),Ivory Coast,French,https://rti.ci
Soir Info,Ivory Coast,French,https://soirinfo.com
SuperSport CI,Ivory Coast,French,https://supersportci.net
Yeclo,Ivory Coast,French,https://www.yeclo.com/
linfodrome,Ivory Coast,French,https://www.linfodrome.com
Africa Check Kenya,Kenya,EN,https://www.africacheck.org/fact-checks?country=kenya
BBC Swahili  Kenya,Kenya,SW,https://www.bbc.com/swahili/topics/cywd23g0dm3t
Business Today,Kenya,EN,https://www.businesstoday.co.ke
CIO Africa,Kenya,EN,https://www.cioafrica.co
Capital FM,Kenya,EN,https://www.capitalfm.co.ke
Capital News,Kenya,,https://www.capitalfm.co.ke/news
Citizen Digital,Kenya,EN,https://www.citizen.digital
Citizen TV News,Kenya,EN,https://www.citizen.digital/category/news
Daily Updates,Kenya,EN,https://www.dailyupdates.co.ke
Debunk Media,Kenya,EN,https://www.debunk.media
Diaspora Messenger,Kenya,EN,https://www.diasporamessenger.com
Farmers Review Africa (KE),Kenya,EN,https://www.farmersreviewafrica.com/tag/kenya
Fumbua,Kenya,EN,https://www.fumbua.org
Gadgets Africa,Kenya,EN,https://www.gadgets-africa.com
Ghafla!,Kenya,EN,https://www.ghafla.com/ke
KDRTV,Kenya,EN,https://www.kdrtv.co.ke
Kenyan Post,Kenya,EN,https://www.kenyan-post.com
Kenyan Wallstreet,Kenya,EN,https://www.kenyanwallstreet.com
Kenyans.co.ke,Kenya,EN,https://www.kenyans.co.ke
Media North,Kenya,,https://medianorthkenya.wordpress.com/category/swahili/
Mozzart Sport KE,Kenya,EN,https://www.mozzartsport.co.ke
Mpasho,Kenya,EN,https://www.mpasho.co.ke
Mwakilishi,Kenya,EN,https://www.mwakilishi.com
NTV Kenya,Kenya,EN,https://www.ntvkenya.co.ke
Nairametrics Kenya,Kenya,EN,https://www.nairametrics.com/kenya
Nairobi Wire,Kenya,EN,https://www.nairobiwire.com
Nyanza Daily,Kenya,EN,https://www.nyanzadaily.co.ke
Nyumbani,Kenya,,https://jamii.wordpress.com/nyumbani
Sauce.co.ke,Kenya,EN,https://www.sauce.co.ke
Sign of Life Kenya,Kenya,,https://signoflifekenya.wordpress.com
Soka KE,Kenya,EN,https://www.soka.co.ke
Swahili Village,Kenya,,https://swahilivillage.wordpress.com
Taifa Leo,Kenya,Swahili,https://taifaleo.nation.co.ke
TechCabal (KE tag),Kenya,EN,https://www.techcabal.com/tag/kenya
Techpoint Africa (KE),Kenya,EN,https://www.techpoint.africa/category/kenya
Techweez,Kenya,EN,https://www.techweez.com
The African Exponent,Kenya,,https://www.africanexponent.com
The African Report,Kenya,,https://www.theafricareport.com
The EastAfrican,Kenya,EN,https://www.theeastafrican.co.ke
The Involvement,Kenya,,https://theinvolvement.wordpress.com
The Kenya Times,Kenya,EN,https://www.thekenyatimes.com
The Star,Kenya,,https://www.the-star.co.ke
Tuko,Kenya,EN,https://www.tuko.co.ke
Uasin Gishu News,Kenya,EN,https://www.uasingishunews.co.ke
BBC News  Lesotho,Lesotho,"Intl desk, EN",https://www.bbc.com/news/world-africa-13728327
Govt. News Portal,Lesotho,"Gov. releases, EN",https://www.gov.ls/news
FrontPage Africa,Liberia,English,https://frontpageafricaonline.com/
GNN Liberia,Liberia,,https://gnnliberia.com
Hot Pepper Newspaper,Liberia,English,https://hotpepperliberia.com/
Liberia Public Radio,Liberia,English,https://www.liberiapublicradio.com/
New Republic Liberia,Liberia,English,https://www.newrepublicliberia.com/
The New Dawn,Liberia,English,https://www.thenewdawnliberia.com/
Al Marsad,Libya,Arabic,https://almarsad.co/
Al-Tadamun (),Libya,Arabic,https://www.tadamun.info/
Alsharq Alawsat Libya (  ),Libya,Arabic,https://aawsat.com/home/international/section/libya
Alwasat ( ),Libya,Arabic,https://www.alwasat.ly/
Libya Akhbar,Libya,Arabic,https://www.libyaakhbar.com/
Ao Raha,Madagascar,Mg,https://www.aoraha.com
LExpress de Madagascar,Madagascar,Fr/Mg,https://www.lexpress.mg
La Gazette de la Grande le,Madagascar,Fr/Mg,https://www.lagazette-dgi.com
Le Journal de lconomie (KOLO),Madagascar,Fr,https://www.tv.kolo.mg/.../le-journal-de-l-economie
Les Nouvelles (feed),Madagascar,Fr,https://www.newsmada.com/category/les-nouvelles
MBS TV,Madagascar,Mg,https://www.mbs.mg
Madagascar-Tribune,Madagascar,Fr,https://www.madagascar-tribune.com
No Comment,Madagascar,Fr,https://www.nocomment.mg
Aujourd'hui au Faso,Mali,,https://aujourdhui.com
Bamada.net,Mali,French,https://bamada.net/
Info-Matin,Mali,French,https://www.info-matin.ml/
Journal du Mali,Mali,French,https://www.journaldumali.com/
L'Express du Mali,Mali,French,https://lexpressdumali.com/
Le Challenger,Mali,,https://lechallenger.fr
Le Soir de Bamako,Mali,French,https://lesoirdebamako.com/
Mali Actu,Mali,French,https://maliactu.net/
Mali Tribune,Mali,French,https://malitribune.com/
Mali24,Mali,French,https://mali24.info/
Malibuzz,Mali,French,https://malibuzz.com/
Maliexpress,Mali,French,https://maliexpress.net/
Malijet,Mali,French,https://malijet.com/
Malikil,Mali,French,https://malikile.com/
Maliweb,Mali,French,https://www.maliweb.net/
Sahelien.com,Mali,French,https://sahelien.com/
Alakhbar,Mauritania,,https://alakhbar.info
Alwiam,Mauritania,,https://alwiam.info
Cridem,Mauritania,,https://cridem.org
Le Quotidien de Nouakchott,Mauritania,,https://quotidien-nouakchott.com
Sahara Media,Mauritania,,https://saharamedias.net
Taqadoumy,Mauritania,,https://taqadoumy.com
5-Plus Dimanche,Mauritius,French,https://5plus.mu/
ION News,Mauritius,French,https://ionnews.mu/
L'Express Property,Mauritius,French,https://www.lexpressproperty.com/en/news/
Le Mauricien,Mauritius,French,https://www.lemauricien.com/
Le Mauricien Actualits,Mauritius,French,https://www.lemauricien.com/category/actualites/
Le Mauricien Education,Mauritius,French,https://www.lemauricien.com/category/education/
Le Mauricien International,Mauritius,French,https://www.lemauricien.com/category/international/
Le Mauricien Local,Mauritius,French,https://www.lemauricien.com/category/local/
Le Mauricien Opinion,Mauritius,French,https://www.lemauricien.com/category/opinions/
Le Mauricien Politique,Mauritius,French,https://www.lemauricien.com/category/politique/
MBC News,Mauritius,English,https://mbcradio.tv/mbcnews/
Mauritius Broadcasting Corporation TV,Mauritius,English,https://mbcradio.tv/
Mauritius Times,Mauritius,English,https://www.mauritiustimes.com/
Top FM,Mauritius,English/French,https://www.topfm.mu/
Agadir 24,Morocco,Ar / Fr (24 | Agadir24),https://www.agadir24.info
Akhbarona,Morocco,Ar,https://www.akhbarona.com
Al Mountakhab,Morocco,Ar ( ),https://www.almountakhab.com
Aswat News,Morocco,Ar (Aswatnews |  ),https://www.aswatnews.ma
Aujourdhui Le Maroc,Morocco,Fr,https://www.aujourdhui.ma
Bladi.net,Morocco,Fr,https://www.bladi.net
Boursenews,Morocco,Fr,https://www.boursenews.ma
Challenge,Morocco,Fr,https://www.challenge.ma
Chouf TV,Morocco,Ar (Chouftv),https://www.chouftv.ma
EcoActu,Morocco,Fr,https://www.ecoactu.ma
Finance & Investissement  BarlamaneToday,Morocco,Ar (Barlama Today),https://www.barlamantoday.com
Fs News,Morocco,Ar (  -    24 ),https://www.fesnews.net
Fs News Media,Morocco,Ar (  ),https://www.fesnews.media
Goud,Morocco,Ar,https://www.goud.ma
H24Info,Morocco,Fr,https://www.h24info.ma
Hespress,Morocco,Ar / Fr / En (Hespress),https://www.hespress.com
Infomdiaire,Morocco,Fr,https://www.infomediaire.net
Kech 24 (Marrakech),Morocco,Ar (24 / Kech24),https://www.kech24.com
La Vie co,Morocco,Fr,https://www.lavieeco.com
Le 7 TV,Morocco,Ar / Fr / En (Le7tv.ma),https://www.le7tv.ma
Le Journal de Tanger,Morocco,Fr,https://www.lejournaldetanger.com
LeSiteInfo,Morocco,Fr,https://www.lesiteinfo.com
Les Inspirations eCO,Morocco,French,https://leseco.ma
Marrakech 7,Morocco,Ar / Fr,https://www.marrakech7.ma
Morocco Times TV,Morocco,En,https://www.moroccotimes.tv
Morocco World News,Morocco,En,https://www.moroccoworldnews.com
North Africa Post,Morocco,En,https://www.northafricapost.com
Oujda City,Morocco,Ar / Fr (OujdaCity),https://www.oujdacity.net
Press Ttouan,Morocco,Ar (  -  ),https://www.presstetouan.com
Quid,Morocco,Fr,https://www.quid.ma
Rue20,Morocco,Ar (Rue20),https://www.rue20.com
TelQuel,Morocco,Fr,https://www.telquel.ma
Tizpress (Tiznit),Morocco,Ar,https://www.tizpress.com
Zaio City,Morocco,Ar (zaiocity.net | .),https://www.zaiocity.net
Tanja 24,Morocco,Arabic,https://tanja24.com/
Chamal Post,Morocco,Arabic,https://chamalpost.ma/
Folha de Maputo,Mozambique,Portuguese,https://www.folhademaputo.co.mz/
Magazine Independente,Mozambique,Portuguese,https://magazineindependente.com/
Savana,Mozambique,Portuguese,https://www.savana.co.mz/
AP Africa  Namibia,Namibia,EN,https://www.apnews.com/hub/namibia
BBC News Africa  Namibia,Namibia,EN,https://www.bbc.com/news/topics/cwlw3k2gw49t
Caprivi Vision,Namibia,EN,https://www.caprivivision.com
Namib Times,Namibia,EN,https://www.namibtimes.net
Namibia Economist,Namibia,EN,https://www.economist.com.na
Radio Wave News,Namibia,EN,https://www.radiowave.com.na/news
SportWrap (The Namibian),Namibia,EN,https://www.namibian.com.na/sportwrap
The Namibian,Namibia,EN (+Oshi snippets),https://www.namibian.com.na
The Villager,Namibia,,https://www.thevillager.com.na
VOA Africa Service  Namibia,Namibia,EN,https://www.voanews.com/africa/namibia
Windhoek Observer,Namibia,EN,https://www.observer24.com.na
BBC Afrique  Niger page,Niger,French (BBC),bbc.com/afrique/topics/ckdxnxr9l8vt
Niger Fact-Checking (within Le Sahel),Niger,French,lesahel.org/category/fact-checking
NigerDiaspora,Niger,French (Nigerdiaspora),nigerdiaspora.net
Sahelien.com (Niger tag),Niger,French / English (sahelien.com | EN),sahelien.com/en/tag/niger
VOA  Niger channel,Niger,French,voaafrique.com/z/5078
Anambra People,Nigeria,En,https://www.anambrapeople.com.ng
BBC Pidgin,Nigeria,Pidgin / En (BBC),https://www.bbc.com/pidgin
Bella Naija,Nigeria,En,https://www.bellanaija.com
Blueprint,Nigeria,En,https://www.blueprint.ng
Brila  Sports Radio,Nigeria,En,https://www.brila.net
Business Day,Nigeria,En,https://www.businessday.ng
Complete Sports,Nigeria,En,https://www.completesports.com
Daily Champion,Nigeria,En,https://www.championnews.com.ng
Daily Nigerian,Nigeria,En,https://www.dailynigerian.com
Daily Post,Nigeria,En,https://www.dailypost.ng
Daily Times,Nigeria,En,https://www.dailytimesng.com
Daily Trust,Nigeria,En,https://www.dailytrust.com
Dateline Nigeria,Nigeria,En,https://www.dateline.ng
Dubawa Nigeria (fact-checking),Nigeria,En,https://www.dubawa.org/tag/nigeria
Financial Watch,Nigeria,En,https://www.financialwatchngr.com
Grassroots Today,Nigeria,En,https://www.grassrootstoday.com
ICIR Nigeria,Nigeria,En,https://www.icirnigeria.org
Independent,Nigeria,En,https://www.independent.ng
Information NG,Nigeria,En,https://www.informationng.com
Investors King,Nigeria,En,https://www.investorsking.com
Katsina Post,Nigeria,En,https://www.katsinapost.com.ng
Kwara Reporters,Nigeria,En,https://www.kwarareporters.com
Leadership,Nigeria,En,https://www.leadership.ng
Legit,Nigeria,En,https://www.legit.ng
Money Central,Nigeria,En,https://www.moneycentral.com.ng
Muslim News Nigeria,Nigeria,En,https://www.muslimnews.com.ng
Naija News,Nigeria,En,https://www.naijanews.com
Nairametrics,Nigeria,En,https://www.nairametrics.com
National Network (PH),Nigeria,En,https://www.nationalnetworkonline.com
New Telegraph,Nigeria,En,https://www.newtelegraphng.com
Nigerian Eye,Nigeria,En,https://www.nigerianeye.com
Nigerian Tribune,Nigeria,En,https://www.tribuneonlineng.com
Osun Defender,Nigeria,En,http://osundefender.com/
Owngoal Nigeria,Nigeria,En,https://www.owngoalnigeria.com
PM News,Nigeria,En,https://www.pmnewsnigeria.com
Peoples Daily,Nigeria,En,https://www.peoplesdailyng.com
Peoples Gazette,Nigeria,En,https://www.gazettengr.com
Politics Nigeria,Nigeria,En,https://www.politicsnigeria.com
Port City News,Nigeria,En,https://www.portcitynews.com
Premium Times,Nigeria,En,https://www.premiumtimesng.com
Pulse Nigeria,Nigeria,En,https://www.pulse.ng
Ripples Nigeria,Nigeria,En,https://www.ripplesnigeria.com
Sahara Reporters,Nigeria,En,https://www.saharareporters.com
ScoreNigeria,Nigeria,En,https://www.scorenigeria.com.ng
